Data for 1/(2pi p_T) d^2sigma/(dy dp_T) mb/(GeV/c)^2 as a function of pT
for vector meson production (3=(K*+K*bar)/2; 5=omega; 6=phi) at
different sqrt(s) for central collisions |y| <=0.5, averaged over y range.

Model = Broken SU(3) model; Int.J.Mod.Phys. A32 (2017) no.33, 1750199.

Flavour    pT (GeV/c) root(s)=0.20, 	2.76,	     7.00         14.00 TeV
---------------------------------------------------------------------------
   5    .1483E+02  .4533E-08	   .9690E-06 	   .3281E-05 	   .7494E-05 
   5    .1549E+02  .3070E-08  	   .7402E-06 	   .2536E-05 	   .5834E-05 
   5    .1612E+02  .2133E-08 	   .5775E-06 	   .2000E-05 	   .4633E-05 
   5    .1673E+02  .1514E-08	   .4588E-06 	   .1605E-05 	   .3741E-05 
   5    .1732E+02  .1096E-08 	   .3701E-06 	   .1308E-05 	   .3065E-05 
   5    .1789E+02  .8063E-09	   .3027E-06 	   .1079E-05 	   .2544E-05 
   5    .1844E+02  .6028E-09 	   .2505E-06 	   .9003E-06 	   .2133E-05 
   5    .1897E+02  .4566E-09 	   .2094E-06 	   .7588E-06 	   .1807E-05 
   5    .1949E+02  .3499E-09 	   .1768E-06 	   .6454E-06 	   .1544E-05 
   5    .2000E+02  .2710E-09 	   .1505E-06 	   .5535E-06 	   .1330E-05 
			
			
   6    .2005E+01  .2178E-02 	   .2792E-01 	   .5645E-01 	   .9124E-01 
   6    .2241E+01  .1030E-02	   .1515E-01 	   .3172E-01 	   .5251E-01 
   6    .2454E+01  .5562E-03  	   .9151E-02 	   .1968E-01 	   .3324E-01 
   6    .2650E+01  .3285E-03  	   .5941E-02 	   .1307E-01 	   .2243E-01 
   6    .2832E+01  .2073E-03  	   .4072E-02 	   .9132E-02 	   .1587E-01 
   6    .3003E+01  .1379E-03  	   .2915E-02 	   .6647E-02 	   .1168E-01 
   6    .3165E+01  .9561E-04  	   .2159E-02 	   .4998E-02 	   .8866E-02 
   6    .3320E+01  .6840E-04  	   .1640E-02 	   .3850E-02 	   .6892E-02 
   6    .3467E+01  .5033E-04  	   .1276E-02 	   .3032E-02 	   .5473E-02 
   6    .3608E+01  .3792E-04  	   .1012E-02 	   .2433E-02 	   .4423E-02 
   6    .3744E+01  .2915E-04  	   .8164E-03 	   .1983E-02 	   .3630E-02 
   6    .3876E+01  .2280E-04  	   .6682E-03 	   .1639E-02 	   .3019E-02 
   6    .4002E+01  .1810E-04  	   .5539E-03 	   .1371E-02 	   .2539E-02 
   6    .4126E+01  .1455E-04  	   .4637E-03 	   .1158E-02 	   .2156E-02 
   6    .4245E+01  .1178E-04  	   .3902E-03 	   .9826E-03 	   .1840E-02 
   6    .4361E+01  .9707E-05  	   .3335E-03 	   .8462E-03 	   .1592E-02 
   6    .4474E+01  .8072E-05  	   .2872E-03 	   .7341E-03 	   .1388E-02 
   6    .5002E+01  .3597E-05  	   .1499E-03 	   .3951E-03 	   .7618E-03 
   6    .5479E+01  .1838E-05  	   .8758E-04 	   .2368E-03 	   .4642E-03 
   6    .5918E+01  .1035E-05  	   .5552E-04 	   .1533E-03 	   .3047E-03 
   6    .7072E+01  .2663E-06  	   .1918E-04 	   .5567E-04 	   .1142E-03 
   6    .7418E+01  .1838E-06 	   .1440E-04 	   .4237E-04 	   .8766E-04 
   6    .7747E+01  .1306E-06  	   .1108E-04 	   .3301E-04 	   .6883E-04 
   6    .8063E+01  .9510E-07  	   .8703E-05 	   .2623E-04 	   .5506E-04 
   6    .8368E+01  .7075E-07  	   .6950E-05 	   .2117E-04 	   .4474E-04 
   6    .8945E+01  .4126E-07  	   .4631E-05 	   .1438E-04 	   .3076E-04 
   6    .9488E+01  .2547E-07  	   .3235E-05 	   .1022E-04 	   .2209E-04 
   6    .1000E+02  .1643E-07  	   .2344E-05 	   .7522E-05 	   .1642E-04 
   6    .1049E+02  .1101E-07  	   .1749E-05 	   .5691E-05 	   .1253E-04 
   6    .1096E+02  .7601E-08  	   .1337E-05 	   .4410E-05 	   .9784E-05 
   6    .1140E+02  .5384E-08  	   .1045E-05 	   .3487E-05 	   .7792E-05 
   6    .1183E+02  .3898E-08  	   .8306E-06 	   .2804E-05 	   .6309E-05 
   6    .1225E+02  .2876E-08  	   .6707E-06 	   .2289E-05 	   .5183E-05 
   6    .1265E+02  .2157E-08  	   .5490E-06 	   .1893E-05 	   .4311E-05 
   6    .1304E+02  .1642E-08  	   .4547E-06 	   .1583E-05 	   .3625E-05 
   6    .1342E+02  .1266E-08  	   .3805E-06 	   .1337E-05 	   .3078E-05 
   6    .1414E+02  .7805E-09  	   .2736E-06 	   .9774E-06 	   .2273E-05 
   6    .1483E+02  .4998E-09  	   .2029E-06 	   .7360E-06 	   .1727E-05 
   6    .1549E+02  .3304E-09  	   .1543E-06 	   .5678E-06 	   .1344E-05 
   6    .1613E+02  .2243E-09  	   .1199E-06 	   .4470E-06 	   .1066E-05 
   6    .1673E+02  .1559E-09  	   .9483E-07 	   .3582E-06 	   .8605E-06 
   6    .1732E+02  .1105E-09  	   .7621E-07 	   .2913E-06 	   .7046E-06 
   6    .1789E+02  .7971E-10  	   .6210E-07 	   .2400E-06 	   .5843E-06 
   6    .1844E+02  .5848E-10  	   .5118E-07 	   .1999E-06 	   .4897E-06 
   6    .1897E+02  .4351E-10  	   .4264E-07 	   .1683E-06 	   .4144E-06 
   6    .1949E+02  .3277E-10  	   .3587E-07 	   .1429E-06 	   .3539E-06 
   6    .2000E+02  .2496E-10  	   .3043E-07 	   .1224E-06 	   .3046E-06 
	 		
			
